#{"t_start": 1788899905.600558, "env_id": "None"}
r,l,t
0.791372,6,7997.413027
0.001901,5,7999.154274
0.954074,8,7999.373234
0.968359,5,8001.870416
0.979118,6,8004.383913
0.947765,6,8006.841221
0.936003,14,8037.660999
0.913056,3,8041.342208
0.981559,13,8047.877568
0.970602,19,8057.161174
0.950387,17,8065.668996
0.942689,6,8071.221502
0.147937,18,8126.160157
0.919598,9,8130.291357
0.963372,28,8138.311043
0.978442,17,8142.800759
0.945606,6,8142.965544
0.972262,3,8143.056784
0.987589,4,8143.161891
0.964153,8,8148.115846
0.953876,10,8148.430031
0.952818,11,8160.806766
0.990439,9,8163.76389
0.974074,5,8163.886595
0.949763,6,8170.841872
0.0,6,8277.937979
0.979499,9,8280.268016
0.910152,4,8280.3752
0.947453,5,8282.756385
0.962218,6,8282.937977
0.952818,3,8285.605715
0.943906,3,8288.18903
0.854386,4,8288.361097
0.868435,5,8288.553575
0.903512,12,8292.652317
0.811085,3,8300.37146
0.995208,14,8306.511461
0.908677,7,8307.002136
0.233843,6,8308.75117
0.993387,18,8312.823658
0.858138,6,8315.920925
0.968447,3,8318.225786
0.0,2,8378.719827
0.936372,8,8384.26154
0.987501,8,8386.474679
0.930455,12,8389.558124
0.939042,7,8392.44268
0.928057,11,8399.024574
0.939611,6,8402.451457
0.947768,11,8405.567701
0.949392,6,8408.210829
0.974454,5,8410.46547
0.923137,12,8410.902445
0.988627,9,8417.500298
0.954448,17,8420.409112
0.939949,11,8424.043109
0.956113,31,8445.593062
0.0,2,8507.151744
0.948306,3,8507.244418
0.939751,5,8512.777508
0.826634,8,8520.30949
0.826783,6,8524.442318
0.848314,4,8530.38573
0.95982,6,8532.781693
0.946542,12,8533.190498
0.942179,5,8536.238166
0.974454,7,8538.653471
0.939611,7,8542.704943
0.903512,19,8561.669423
0.966936,4,8561.792919
0.024076,3,8562.133034
0.951957,9,8562.346486
0.91563,6,8562.543308
0.910724,18,8575.878119
0.928032,21,8585.900476
0.995238,19,8590.281337
0.910232,18,8594.249502
0.936372,3,8597.149581
0.894627,13,8597.465134
0.940877,14,8600.634296
0.982179,12,8610.015728
0.927387,5,8610.149321
0.980705,8,8614.722068
0.9982,14,8617.044835
0.996225,14,8623.049783
0.972291,9,8623.307148
0.929144,5,8623.429926
0.972145,5,8623.560119
0.967167,4,8623.710131
0.991778,14,8634.295832
0.995208,12,8636.495717
0.865824,8,8636.897995
0.938061,4,8640.854158
0.936679,9,8646.851962
0.939611,5,8653.447145
0.984362,5,8653.625744
0.913056,5,8660.456522
0.920512,10,8666.169154
0.975097,5,8666.351815
0.965862,9,8666.568703
0.979499,4,8671.142469
0.934828,5,8674.882258
0.96236,23,8679.939407
0.99491,4,8681.85564
0.811085,6,8691.598801
0.96563,6,8691.751137
