#{"t_start": 1786308467.9544067, "env_id": "None"}
r,l,t
0.97466,4,1597.007573
0.939183,3,1597.42202
0.948822,3,1602.366657
0.964183,3,1616.596245
0.982592,3,1619.045688
0.913056,3,1627.991936
0.99491,3,1632.022938
0.964183,3,1635.080333
0.913022,3,1635.222878
0.987916,3,1637.660446
0.99491,3,1639.684661
0.755709,4,1646.826427
0.933926,3,1646.975125
0.956975,3,1655.94425
0.99491,3,1657.929177
0.991332,3,1660.035314
0.894653,3,1660.268409
0.882471,3,1666.500394
0.882471,3,1676.790449
0.869394,3,1676.900453
0.794992,3,1683.241652
0.97466,3,1687.320021
0.975273,3,1687.415781
0.964183,3,1700.836232
0.979059,3,1706.023742
0.940598,3,1711.349383
0.99297,3,1716.713758
0.942011,3,1720.710559
0.94088,3,1726.874096
0.953733,3,1729.648035
0.932445,3,1733.386424
0.980971,3,1738.821927
0.970337,3,1738.987953
0.957406,3,1742.643833
0.942152,3,1749.767193
0.99491,3,1751.602504
0.929092,3,1760.515928
0.932305,3,1768.536316
0.972468,3,1771.798051
0.957406,3,1775.053852
0.965659,3,1775.152105
0.82547,4,1781.275594
0.939611,3,1790.996367
0.950957,3,1791.118723
0.980499,3,1793.387706
0.993119,3,1795.573089
0.929478,3,1795.700707
0.947257,3,1802.375185
0.979059,3,1807.385217
0.99491,3,1811.422781
0.911954,3,1812.727218
0.939611,3,1819.979715
0.922699,3,1827.339906
0.989697,3,1831.336923
0.907612,3,1831.6876
0.996823,3,1831.880275
0.950248,3,1839.26434
0.993417,3,1841.656242
0.956801,3,1844.205427
0.972614,3,1846.647306
0.968447,3,1850.028631
0.993775,3,1850.153314
0.953677,3,1867.881031
0.979646,3,1871.551285
0.862195,3,1879.930457
0.976124,3,1882.830305
0.944586,3,1882.937328
0.970572,3,1885.745604
0.991987,3,1885.849279
0.972906,3,1900.097475
0.948964,3,1917.437543
0.939183,3,1917.551158
0.881933,3,1917.680239
0.956972,3,1917.789362
0.828547,3,1923.645952
0.987916,3,1928.352497
0.930767,3,1937.142728
0.987768,3,1942.027287
0.964183,3,1952.740867
0.892161,3,1959.015207
0.987768,3,1961.49069
0.964183,3,1965.072762
0.982739,3,1967.927143
0.977884,3,1972.205249
0.986286,3,1974.944651
0.989697,3,1979.318611
0.978205,3,1979.706809
0.950533,3,1984.55626
0.939611,3,1993.366584
0.972176,3,1999.111171
0.99491,3,2003.126831
0.975685,3,2006.182591
0.966067,3,2008.618149
0.755709,3,2016.430288
0.984363,3,2021.004806
0.99491,3,2024.766406
0.94088,3,2029.332347
0.916263,3,2031.761933
0.942152,3,2036.849885
0.95039,3,2041.758344
0.792468,3,2051.957256
0.981118,3,2054.636874
0.923808,3,2063.798084
0.989994,3,2078.409108
0.915795,3,2079.43179
0.991481,3,2087.451306
0.811085,3,2104.489106
0.913056,3,2113.698768
0.918714,3,2113.789321
0.924746,3,2113.877076
