#{"t_start": 1788946560.1669784, "env_id": "None"}
r,l,t
0.962995,4,5719.94685
0.967138,3,5720.030047
0.988064,3,5722.475091
0.949534,3,5725.210097
0.920485,4,5728.423522
0.955021,5,5731.317965
0.928921,3,5731.432752
0.968011,5,5733.803583
0.947311,3,5733.887408
0.959243,4,5733.981174
0.97276,3,5736.319104
0.894466,3,5736.408634
0.0,5,5842.265426
0.071162,4,5845.212377
0.974075,3,5848.513002
0.903675,3,5851.928707
0.952818,3,5854.503216
0.966064,3,5854.639986
0.96653,3,5856.905052
0.895137,5,5857.200218
0.828446,3,5857.301039
0.939611,3,5860.551121
0.932445,3,5864.162346
0.927753,3,5866.933463
0.99491,3,5868.943181
0.89554,4,5869.064309
0.942859,3,5871.884657
0.937356,3,5874.994286
0.952959,5,5877.680295
0.939383,3,5880.422778
0.96563,3,5880.505989
0.992076,6,5884.93729
0.932445,4,5888.619093
0.87102,3,5896.647681
0.951786,3,5896.765131
0.984362,4,5896.870317
0.968504,3,5898.981792
0.973052,3,5903.070735
0.904597,3,5909.796515
0.921478,4,5913.129015
0.980411,3,5915.189873
0.986048,3,5915.266364
0.979852,3,5915.34486
0.957262,3,5920.624954
0.947257,4,5923.551967
0.952246,3,5926.136363
0.950414,4,5926.232824
0.979498,3,5926.308746
0.95723,3,5926.390699
0.932445,3,5932.481504
0.937831,5,5935.447052
0.993715,4,5935.560707
0.959419,4,5938.049989
0.912643,3,5941.047653
0.995059,4,5943.049547
0.981618,3,5945.011325
0.963922,3,5945.090811
0.963835,3,5945.231903
0.988271,3,5947.255595
0.972614,3,5951.736048
0.910864,3,5963.795455
0.79311,4,5969.511105
0.729534,3,5980.004302
0.940935,3,5982.667161
0.981441,4,5982.828217
0.894069,3,5990.594229
0.918166,3,5990.675768
0.904597,3,5993.979319
0.811085,3,6000.204187
0.986286,3,6002.65394
0.948021,4,6002.761396
0.930399,3,6002.850289
0.974075,3,6008.685529
0.047252,4,6014.586777
0.930068,3,6020.365068
0.989697,3,6022.411635
0.962593,3,6024.629937
0.989964,3,6024.704678
0.957262,3,6029.984546
0.986819,3,6032.006668
0.97028,3,6032.101731
0.0,3,6092.862373
0.989934,3,6092.950891
0.969262,3,6095.221815
0.887944,3,6095.4649
0.848314,3,6101.706764
0.930068,6,6104.878846
0.986286,4,6111.322338
0.977119,4,6111.421535
0.0,5,6223.688454
0.954046,4,6223.818553
0.910585,5,6223.988008
0.942294,4,6229.250794
0.945179,3,6229.332042
0.956801,3,6231.655705
0.916673,3,6231.732432
0.955969,3,6234.323182
0.980411,3,6236.424332
0.962477,3,6238.933724
0.891147,4,6239.134236
0.977884,3,6241.664111
0.981117,3,6241.739098
0.960772,3,6241.852008
0.848314,3,6253.815622
0.907394,3,6253.907308
0.757866,3,6254.01213
0.920454,3,6254.099473
0.933224,3,6254.185355
0.963922,3,6254.34666
0.900395,4,6258.382792
0.907097,3,6258.470502
0.828546,3,6258.582586
0.936372,3,6261.4939
0.904597,3,6268.236154
0.977618,3,6270.309956
0.982739,3,6272.620449
0.907726,3,6276.116256
0.993686,3,6276.198997
0.943141,3,6276.371865
0.931718,4,6279.816315
0.981265,3,6283.079864
0.936705,3,6283.161535
0.941642,3,6283.25265
0.988568,3,6283.330794
0.849353,4,6283.469021
0.990588,3,6283.54733
0.0,1,6344.267779
0.536089,6,6345.060177
0.897455,3,6348.497949
0.882471,3,6352.921317
0.853258,6,6361.93945
0.973548,3,6362.015081
0.757866,5,6368.621929
0.989697,3,6370.732853
0.916289,3,6373.173466
0.983123,3,6375.23326
0.927559,4,6378.449862
0.925194,3,6381.408551
0.953733,3,6383.956051
0.989697,3,6386.091463
0.969756,3,6386.173736
0.966067,3,6390.654902
0.0,1,6451.366629
0.966354,3,6453.628912
0.951074,3,6453.723579
0.975977,3,6455.953139
0.962737,3,6460.627358
0.857273,3,6465.610389
0.0,2,6526.183802
0.996823,4,6526.292568
0.871358,3,6526.393549
0.918468,4,6529.711065
0.962015,3,6536.946187
0.925138,3,6539.767765
0.99491,3,6543.547877
0.104674,9,6569.70387
0.979059,3,6572.033531
0.969262,3,6574.437454
0.949962,4,6577.359896
0.984244,4,6577.491742
0.975068,3,6577.569301
0.975273,3,6577.650685
0.945465,4,6577.75691
0.936372,3,6580.694939
0.572395,9,6587.507991
0.984659,3,6590.271885
0.96563,3,6590.355654
0.989548,4,6592.479512
0.0,4,6679.972106
0.729534,3,6690.409407
0.996823,3,6690.47872
0.981265,3,6695.504539
0.912476,5,6699.058585
0.960108,3,6699.139977
0.927805,4,6701.521113
0.952675,3,6704.06286
0.913056,3,6708.387873
0.967373,3,6713.356436
0.930961,3,6716.075751
0.972614,3,6720.584129
0.939751,3,6723.395223
0.927559,3,6726.34392
0.948249,3,6726.427521
0.910152,3,6726.509254
0.947625,3,6726.63548
0.821887,3,6726.730502
0.979646,3,6729.629864
0.757866,3,6729.927659
0.927582,3,6730.011472
0.906801,4,6730.251593
0.828546,4,6730.378239
0.976768,3,6730.457104
0.872485,3,6734.050257
0.933957,3,6736.712963
0.965922,3,6739.037954
0.91089,3,6739.133735
0.968154,3,6739.292117
0.947708,4,6739.454975
0.913056,3,6743.547523
0.882471,3,6753.29416
0.944669,3,6756.106842
0.849353,3,6756.226022
0.956113,3,6758.7485
0.927805,3,6758.848606
0.90324,3,6801.531709
0.974834,3,6801.616784
0.954878,3,6801.728061
0.969756,3,6801.822106
0.960598,3,6801.899107
0.946943,3,6804.38325
0.952877,6,6806.889512
0.921642,3,6806.983115
0.967373,3,6809.494253
0.86814,4,6809.805879
0.993119,3,6811.863151
0.848314,3,6823.533224
0.930961,3,6826.226268
0.97759,3,6828.634364
0.970427,4,6831.313968
0.952675,3,6833.891756
0.987589,3,6833.969407
0.104674,13,6923.2686
0.811085,3,6937.174523
0.99832,6,6941.03862
0.86279,3,6945.250344
0.989697,3,6949.307456
0.94865,3,6949.476284
0.979059,3,6951.800483
0.810328,3,6951.920372
0.956885,5,6952.236282
0.99297,3,6956.163808
0.913056,3,6960.468551
0.939611,3,6963.723786
0.936372,3,6966.56042
0.0,2,7027.319587
0.931045,4,7035.502898
0.990677,3,7037.389949
0.935443,3,7037.484542
0.990618,3,7037.575019
0.913056,3,7045.413981
0.921449,3,7048.546215
0.0,4,7111.404282
0.979059,3,7113.809867
0.953733,3,7116.347505
0.984659,3,7119.217022
0.967373,3,7123.875644
0.960684,3,7123.955715
0.921587,3,7124.046724
0.925583,3,7124.133017
0.903512,3,7127.88076
0.927805,3,7130.192603
0.757866,3,7130.294545
0.927559,3,7136.845438
0.921064,3,7136.932213
0.972233,3,7137.072238
0.990797,3,7137.147541
0.796161,4,7137.283466
0.969407,3,7139.528814
0.895754,3,7139.619392
0.99491,3,7141.524437
0.949787,4,7141.681801
0.729534,6,7159.827456
0.967545,3,7162.016809
0.93387,3,7162.103073
0.965922,3,7164.572625
0.907394,3,7164.660636
0.978352,3,7164.750534
0.913055,3,7168.408803
0.981205,4,7168.51719
0.982739,3,7172.96619
0.953733,3,7175.392289
0.963689,3,7175.520909
0.904597,3,7182.404619
0.917313,3,7185.678735
0.795636,3,7185.774075
0.937356,3,7191.878759
0.907097,3,7191.962583
0.970193,3,7192.041524
0.946003,3,7192.12429
0.935443,3,7192.210681
0.979353,3,7196.412629
0.954246,3,7196.499122
0.958556,4,7201.344549
0.963457,3,7201.426168
0.947367,4,7201.533302
0.990142,7,7206.178391
0.94212,3,7206.265054
0.968912,3,7208.47456
0.984659,3,7211.395877
0.857273,3,7220.89133
0.972468,3,7225.561285
0.995059,6,7229.534555
0.0,2,7290.788578
0.986138,3,7292.864197
0.942233,3,7292.995241
0.942176,3,7293.128035
0.901615,4,7299.742488
0.864371,3,7299.830294
0.94589,5,7302.271624
0.959243,4,7302.368907
0.811085,3,7309.822052
0.979499,3,7312.098519
0.927782,4,7315.183594
0.993745,3,7315.257974
0.821418,3,7320.314761
0.918796,3,7320.405006
0.8946,3,7320.494352
0.939611,3,7323.899498
0.99491,3,7325.768906
0.930068,3,7331.587049
0.925442,5,7334.844061
0.873239,3,7334.940525
0.977444,3,7340.07276
0.993209,3,7340.144754
0.93961,4,7347.933507
0.976504,3,7348.008535
0.979264,3,7350.133922
0.989548,3,7352.168432
0.887273,4,7360.632421
