#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.455414,24,9947.340702
0.907785,14,9958.988691
0.798985,19,9962.52836
0.970399,11,9965.056397
0.918975,29,9982.329345
0.80138,31,10007.715021
0.932458,23,10018.307443
0.0,2,10079.38307
0.823492,15,10097.360384
0.438366,7,10126.984064
0.590268,12,10127.39681
0.849104,21,10135.525928
0.0,5,10226.308248
0.800706,11,10238.680031
0.889421,4,10245.666682
0.0,12,10343.184044
0.45144,11,10348.276409
0.980458,7,10348.46357
0.72633,20,10938.687741
0.87443,39,10955.363339
0.955588,13,10959.940428
0.505229,9,10976.089197
0.372561,14,11041.550708
0.953883,4,11044.359486
0.712681,13,11053.404473
0.958722,7,11059.430456
0.979001,4,11061.705043
0.809894,15,11062.223408
0.580363,10,11082.135916
0.960524,5,11087.390561
0.961743,15,11094.747619
0.894385,10,11097.435612
0.957297,8,11100.068377
0.964174,5,11102.43421
0.866355,15,11121.38361
0.567724,17,11135.43078
0.725838,11,11142.6544
0.88155,18,11155.368698
0.86279,23,11156.252179
0.315352,5,11181.143545
0.560048,15,11185.342055
0.811859,29,11212.91105
0.960897,26,11217.042586
0.690732,12,11227.024354
0.904732,6,11232.128422
0.614068,25,11242.622499
0.998249,9,11244.895714
0.683178,16,11267.475037
0.497504,6,11268.880584
0.886678,9,11269.194017
0.0,19,11424.005149
0.872061,17,11430.639899
0.998249,9,11434.90307
0.576774,30,11460.943455
0.818368,9,11464.742554
0.890492,28,11470.266617
0.946225,19,11481.865824
0.233295,40,11612.245196
0.92207,9,11614.907187
0.949043,5,11615.063602
0.589077,5,11628.114576
0.95962,15,11631.656837
0.0,11,11638.163783
0.293581,6,11638.588797
0.735633,5,11648.279446
0.792426,8,11648.530274
0.968668,15,11658.600183
0.998249,15,11669.703672
0.681067,13,11670.971872
0.746668,24,11674.762402
0.854426,4,11680.767197
0.674096,17,11719.521504
0.958966,14,11723.048298
0.631085,12,11746.404594
0.887987,9,11746.727978
0.811178,12,11753.861626
0.854051,23,11758.212259
0.989594,9,11760.677261
0.858512,17,11766.058032
0.898606,10,11769.659081
0.0,31,12032.678082
0.624529,6,12043.959457
0.923672,5,12049.686868
0.315352,9,12075.941388
0.0,12,12244.368385
0.902767,15,12256.913123
0.809935,5,12264.556748
0.926421,7,12270.998481
0.421067,26,12338.778918
0.94095,7,12338.957654
0.825956,22,12339.598684
0.656677,11,12355.345648
0.959024,18,12360.645697
0.7438,22,12370.313374
0.937988,19,12377.00427
0.978071,15,12377.405217
0.266191,12,12400.7377
0.970297,6,12400.890422
0.712326,35,12431.940254
0.958608,14,12440.565635
0.960524,5,12443.435252
0.880967,17,12462.345391
0.765446,27,12511.703036
0.959531,8,12515.341747
0.951887,8,12523.382706
0.839855,8,12528.815529
0.668596,8,12541.093899
0.699182,10,12560.307096
0.33508,9,12595.758426
0.778838,5,12595.898077
0.918234,13,12609.779938
0.0,11,12673.395693
0.267101,15,12701.561599
0.811443,13,12706.301265
0.959684,8,12713.053806
0.0,3,12773.705767
0.63016,6,12796.615777
0.880655,23,12829.757444
0.67312,24,12835.957069
0.668092,12,12836.639794
0.570221,7,12856.766033
0.998249,11,12863.149966
0.352862,23,12934.371168
0.638312,11,12962.057146
0.849566,16,12974.443691
0.569353,8,12974.761678
0.773647,9,12984.744946
0.689873,8,12985.074692
0.822164,15,12993.470654
0.887472,8,12993.734174
0.149376,10,13020.745201
0.756718,35,13054.77404
0.513869,10,13072.312223
0.962751,25,13085.127675
0.957153,7,13085.293962
0.961525,16,13092.938406
0.563577,15,13101.294726
0.857585,31,13110.331967
0.865762,27,13136.241529
0.985607,10,13136.49735
0.854426,9,13140.423289
0.914455,6,13145.948937
0.906437,10,13154.946469
0.968312,15,13160.884785
0.802181,12,13174.851942
0.0,1,13235.367241
0.703761,18,13269.632728
0.864588,11,13274.186443
0.672279,8,13274.960963
0.971748,11,13286.913536
0.7969,9,13295.777484
0.984762,4,13298.161874
0.638833,12,13334.619749
0.973884,21,13349.401455
0.630429,25,13385.341536
0.928567,20,13394.784653
0.155829,11,13396.155405
0.0,1,13456.942761
0.612389,9,13457.317165
0.879125,5,13462.237772
0.931415,36,13481.496236
0.974552,12,13486.646552
0.777391,24,13499.202538
0.521887,38,13549.79264
0.748264,10,13553.836642
0.946863,16,13558.923334
0.922091,7,13562.091178
0.87322,9,13566.060898
0.795214,11,14008.09121
0.0,5,14130.611413
0.745368,14,14134.683828
0.907779,14,14151.208255
0.937764,7,14155.280769
0.746963,22,14173.397793
0.898419,6,14179.132586
0.965777,12,14187.700584
0.926421,12,14197.059352
0.839075,24,14207.044832
0.892309,9,14214.302814
0.939482,5,14214.472935
0.914455,5,14219.850821
0.769509,20,14248.07809
0.0,5,14314.792505
0.951559,10,14322.436648
0.663969,3,14333.071482
0.882862,13,14336.58567
0.961882,14,14340.794459
0.904378,5,14340.953187
0.787189,5,14345.729241
0.449267,26,14383.751088
0.748593,7,14388.243191
0.735669,27,14395.944438
0.363814,8,14418.474977
0.990267,17,14427.404574
0.449962,15,14453.778254
0.0,17,14563.692869
0.996685,5,14565.985207
0.202328,17,14593.022682
0.94476,12,14601.800986
0.0,15,14720.985757
0.850962,13,14729.214822
0.989498,4,14733.694926
0.83476,17,14742.572778
0.775311,4,14747.744886
0.595947,3,14754.711027
0.873023,6,14763.911863
0.823116,13,14771.422508
0.782705,14,14785.585286
0.85634,13,14798.789237
0.815359,10,14816.742048
0.381983,21,14857.135466
0.958014,10,14865.342958
0.935884,4,14865.451135
0.720292,8,14865.684875
0.873487,20,14882.36533
0.0,7,15002.713938
0.879373,5,15007.594101
0.840541,25,15024.133274
0.79015,25,15047.771218
0.188773,9,15074.766447
0.787139,7,15080.43237
0.634871,7,15080.82043
0.869039,10,15084.825411
0.691744,5,15091.713583
0.869863,14,15097.088271
0.860973,5,15097.222087
0.731981,14,15097.694697
0.700845,8,15106.025027
0.86928,27,15113.914061
0.0,7,15198.876869
0.766693,6,15203.589236
0.317578,33,15235.93459
0.620942,16,15247.14848
0.69246,33,15270.436974
0.803181,14,15285.372335
0.967813,5,15289.244565
0.734293,14,15295.772095
0.856314,15,15298.8984
0.549548,14,15321.421281
0.806808,6,15321.58114
0.825939,23,15322.481083
0.622115,13,15338.774599
0.935139,12,15341.407955
0.998849,8,15343.631656
0.998395,4,15345.67144
0.950025,34,15371.370551
0.059682,15,15491.048107
0.839624,21,15527.990551
0.898419,10,15531.304301
